AAPL
MSFT
AMZN
FB
GOOG
GOOGL
INDA
2330.TW
TSLA
0700.HK
JPM
BABA
JNJ
V
DIS
BRKB
5930.T
MA
UNH
NVDA
PG
NESN
HD
BAC
PYPL
INTC
CMCSA
XOM
ASML
ROG
NFLX
VZ
ADBE
T
ABT
CSCO
CVX
KO
PFE
ABBV
CRM
MRK
AVGO
WMT
NOVN
MC
PEP
NKE
TMO
ACN
LLY
MCD
TXN
MDT
7203.T
3690.HK
1299.HK
WFC
9984.T
QCOM
C
HON
NEE
ULVR
COST
LIN
UNP
AMGN
BMY
DHR
PM
BA
SNE
ORCL
AZN
RY
SBUX
LOW
SAP
SHOP
NOVO
B
CAT
SIE
FP
TD
HSBA
RTX
UPS
GE
CBA
IBM
MS
DE
SAN
BLK
GS
AMAT
MMM
INTU
BHP
XTSLA
MU
ALV
NPN
SCHW
AMT
CVS
AMD
BKNG
NOW
AXP
OR
DGE
RIO
FIS
MO
CSL
TGT
SQ
GSK
CHTR
CI
BATS
SU
BP.
ANTM
LMT
ISRG
SPGI
MDLZ
CNR
6861.T
LRCX
TJX
SYK
ADP
RDSB
RDSA
GILD
0939.HK
COP
TFC
IBE
ENEL
CB
PLD
AI
CME
ZTS
ENB
GM
JD
ATVI
PNC
BAS
DAI
BIDU
BNS
2318.HK
8306.T
AIR
USB
FISV
TMUS
CSX
MELI
0388.HK
CCI
BDX
ITW
BNP
DUK
000660.KS
FDX
NSC
EL
DTE
WBC
GPN
ADS
VALE3
ZM
BHP
ICE
6098.HK
SO
7974.T
ZURN
PDD
CL
ADSK
NAB
ILMN
BAYN
RB.
APD
SHW
D
4502.T
MMC
UBSG
EQIX
COF
ANZ
NXPI
BAM.A
4063.T
ADI
SAN
VRTX
8035.T
SNAP
BMO
UBER
ABBN
PRX
ECL
BSX
5935.T
PGR
EMR
2317.TW
TWTR
DG
VIAC
PRU
HUM
KER
DPW
NIO
6594.T
IFX
VOW3
WM
6367.T
AON
8316.T
CP
FCX
BX
4568.T
TWLO
MCO
9433.T
ATCO
A
EW
7267.T
PHIA
ETN
HCA
CFR
NEM
9983.T
REGN
VOD
DG
6981.T
KLAC
6501.T
NOC
1810.HK
SAF
REL
F
DOW
CS
2454.TW
TEL
6954.T
EL
ABI
AAL
KMB
LONN
MET
JCI
TRP
NTES
INGA
ROST
CM
ADYEN
8001.T
7741.T
CTSH
MUV2
WDAY
IDXX
MRNA
CRG
